country,city_name,date,nameMap,total_confirm,total_suspect,total_dead,total_heal,confirmAdd,lastUpdateTime
日本本土,东京,03.24,Tokyo,171,0,4,0,0,2020-03-25 10:44:50
日本本土,北海道,03.24,Hokkaido,163,0,4,0,0,2020-03-25 10:44:50
日本本土,爱知县,03.24,Aichi,148,0,17,0,0,2020-03-25 10:44:50
日本本土,大阪府,03.24,Osaka,142,0,2,0,0,2020-03-25 10:44:50
日本本土,兵库县,03.24,Hyogo,118,0,6,0,0,2020-03-25 10:44:50
日本本土,神奈川县,03.24,Kanagawa,82,0,3,0,0,2020-03-25 10:44:50
日本本土,埼玉县,03.24,Saitama,58,0,1,0,0,2020-03-25 10:44:50
日本本土,千叶县,03.24,Chiba,48,0,0,0,0,2020-03-25 10:44:50
日本本土,新潟县,03.24,Niigata,28,0,0,0,0,2020-03-25 10:44:50
日本本土,检疫等工作人员,03.23,,28,0,0,0,0,2020-03-25 10:44:50
日本本土,京都府,03.24,Kyoto,25,0,0,0,0,2020-03-25 10:44:50
日本本土,大分县,03.24,Oita,23,0,0,0,0,2020-03-25 10:44:50
日本本土,和歌山县,03.22,Wakayama,17,0,1,0,0,2020-03-25 10:44:50
日本本土,武汉包机回国者,03.11,,14,0,0,0,0,2020-03-25 10:44:50
日本本土,群马县,03.24,Gunma,13,0,1,0,0,2020-03-25 10:44:50
日本本土,高知县,03.22,Kochi,12,0,1,0,0,2020-03-25 10:44:50
日本本土,地区待确认,03.24,,10,0,2,285,0,2020-03-25 10:44:50
日本本土,茨城县,03.24,Ibaraki,10,0,0,0,0,2020-03-25 10:44:50
日本本土,奈良县,03.22,Nara,9,0,0,0,0,2020-03-25 10:44:50
日本本土,岐阜县,03.24,Gifu,9,0,0,0,0,2020-03-25 10:44:50
日本本土,三重县,03.22,Mie,9,0,0,0,0,2020-03-25 10:44:50
日本本土,石川县,03.22,Ishikawa,8,0,0,0,0,2020-03-25 10:44:50
日本本土,熊本县,03.22,Kumamoto,7,0,0,0,0,2020-03-25 10:44:50
日本本土,福冈县,03.24,Fukuoka,6,0,0,0,0,2020-03-25 10:44:50
日本本土,栃木县,03.24,Tochigi,6,0,0,0,0,2020-03-25 10:44:50
日本本土,冲绳县,03.24,Okinawa,5,0,0,0,0,2020-03-25 10:44:50
日本本土,滋贺县,03.24,Shiga,5,0,0,0,0,2020-03-25 10:44:50
日本本土,长野县,03.23,Nagano,4,0,0,0,0,2020-03-25 10:44:50
日本本土,山口县,03.22,Yamaguchi,4,0,0,0,0,2020-03-25 10:44:50
日本本土,爱媛县,03.22,Ehime,3,0,0,0,0,2020-03-25 10:44:50
日本本土,广岛县,03.22,Hiroshima,3,0,0,0,0,2020-03-25 10:44:50
日本本土,静冈县,03.22,Shizuoka,3,0,0,0,0,2020-03-25 10:44:50
日本本土,宫崎县,03.22,Miyazaki,3,0,0,0,0,2020-03-25 10:44:50
日本本土,青森县,03.24,Aomori,2,0,0,0,0,2020-03-25 10:44:50
日本本土,秋田县,03.24,Akita,2,0,0,0,0,2020-03-25 10:44:50
日本本土,山梨县,03.22,Yamanashi,2,0,0,0,0,2020-03-25 10:44:50
日本本土,福岛县,03.22,Fukushima,2,0,0,0,0,2020-03-25 10:44:50
日本本土,佐贺县,03.22,,1,0,0,0,0,2020-03-25 10:44:50
日本本土,香川县,03.23,Kagawa,1,0,0,0,0,2020-03-25 10:44:50
日本本土,冈山县,03.23,Okayama,1,0,0,0,0,2020-03-25 10:44:50
日本本土,德岛县,03.22,Tokushima,1,0,0,0,0,2020-03-25 10:44:50
日本本土,宫城县,03.22,Miyagi,1,0,0,0,0,2020-03-25 10:44:50
日本本土,长崎县,03.20,,1,0,0,0,0,2020-03-25 10:44:50
日本本土,福井县,03.23,Fukui,1,0,0,0,0,2020-03-25 10:44:50
