date,confirm,suspect,dead,heal,nowConfirm,nowSevere,deadRate,healRate
01.13,41,0,1,0,0,0,2.4,0.0
01.14,41,0,1,0,0,0,2.4,0.0
01.15,41,0,2,5,0,0,4.9,12.2
01.16,45,0,2,8,0,0,4.4,17.8
01.17,62,0,2,12,0,0,3.2,19.4
01.18,198,0,3,17,0,0,1.5,8.6
01.19,275,0,4,18,0,0,1.5,6.5
01.20,291,54,6,25,291,0,2.1,8.6
01.21,440,37,9,25,431,0,2.0,5.7
01.22,574,393,17,25,557,0,3.0,4.4
01.23,835,1072,25,34,776,0,3.0,4.1
01.24,1297,1965,41,38,1218,0,3.2,2.9
01.25,1985,2684,56,49,1880,324,2.8,2.5
01.26,2761,5794,80,51,2630,461,2.9,1.8
01.27,4535,6973,106,60,4369,976,2.3,1.3
01.28,5997,9239,132,103,5762,1239,2.2,1.7
01.29,7736,12167,170,124,7442,1370,2.2,1.6
01.30,9720,15238,213,171,9336,1527,2.2,1.8
01.31,11821,17988,259,243,11319,1795,2.2,2.1
02.01,14411,19544,304,328,13779,2110,2.1,2.3
02.02,17238,21558,361,475,16402,2296,2.1,2.8
02.03,20471,23214,425,632,19414,2788,2.1,3.1
02.04,24363,23260,491,892,22980,3219,2.0,3.7
02.05,28060,24702,564,1153,26343,3859,2.0,4.1
02.06,31211,26359,637,1542,29032,4821,2.0,4.9
02.07,34598,27657,723,2052,31823,6101,2.1,5.9
02.08,37251,28942,812,2651,33788,6188,2.2,7.1
02.09,40235,23589,909,3283,36043,6484,2.3,8.2
02.10,42708,21675,1017,3998,37693,7333,2.4,9.4
02.11,44730,16067,1114,4742,38874,8204,2.5,10.6
02.12,59882,13435,1368,5915,52599,8030,2.3,9.9
02.13,63932,10109,1381,6728,55823,10204,2.2,10.5
02.14,66576,8969,1524,8101,56951,11053,2.3,12.2
02.15,68584,8228,1666,9425,57493,11272,2.4,13.7
02.16,70635,7264,1772,10853,58010,10644,2.5,15.4
02.17,72528,6242,1870,12561,58097,11741,2.6,17.3
02.18,74279,5248,2006,14387,57886,11977,2.7,19.4
02.19,75002,4922,2121,16157,56386,11864,2.8,21.5
02.20,75993,5206,2239,18266,55051,11633,2.9,24.0
02.21,76392,5365,2348,20673,53371,11477,3.1,27.1
02.22,77041,4148,2445,22907,51689,10968,3.2,29.7
02.23,77262,3434,2595,24757,49910,9915,3.4,32.0
02.24,77779,2824,2666,27353,47760,9126,3.4,35.2
02.25,78190,2491,2718,29775,45697,8752,3.5,38.1
02.26,78630,2358,2747,32531,43352,8346,3.5,41.4
02.27,78959,2308,2791,36157,40011,7952,3.5,45.8
02.28,79389,1418,2838,39049,37502,7664,3.6,49.2
02.29,79968,851,2873,41675,35420,7365,3.6,52.1
03.01,80174,715,2915,44518,32741,7110,3.6,55.5
03.02,80302,587,2946,47260,30096,6806,3.7,58.9
03.03,80422,520,2984,49914,27524,6416,3.7,62.1
03.04,80565,522,3015,52109,25441,5952,3.7,64.7
03.05,80710,482,3045,53793,23872,5737,3.8,66.6
03.06,80813,502,3073,55477,22263,5489,3.8,68.6
03.07,80859,458,3100,57143,20616,5264,3.8,70.7
03.08,80904,421,3123,58684,19097,5111,3.9,72.5
03.09,80924,349,3140,59982,17802,4794,3.9,74.1
03.10,80955,285,3162,61567,16226,4492,3.9,76.1
03.11,80992,253,3173,62887,14920,4257,3.9,77.6
03.12,81003,147,3180,64216,13607,4020,3.9,79.3
03.13,81021,115,3194,65649,12178,3610,3.9,81.0
03.14,81048,113,3204,67022,10822,3226,4.0,82.7
03.15,81077,134,3218,67863,9996,3032,4.0,83.7
03.16,81116,128,3231,68799,9086,2830,4.0,84.8
03.17,81151,119,3242,69725,8184,2622,4.0,85.9
03.18,81235,105,3250,70547,7438,2314,4.0,86.8
03.19,81300,104,3253,71284,6763,2136,4.0,87.7
03.20,81416,106,3261,71876,6013,1963,4.0,88.3
03.21,81498,118,3267,72382,5849,1845,4.0,88.8
03.22,81600,136,3276,72841,5483,1749,4.0,89.3
03.23,81747,132,3283,73299,5165,1573,4.0,89.7
03.24,81846,134,3287,73791,4768,1399,4.0,90.2
