date,wuhan,notWuhan,notHubei
01.21,60,12,44
01.22,105,0,62
01.23,62,7,154
01.24,70,35,264
01.25,77,102,365
01.26,46,278,398
01.27,80,291,480
01.28,892,399,619
01.29,315,525,705
01.30,356,676,762
01.31,378,842,755
02.01,576,771,669
02.02,894,1027,726
02.03,1033,1070,890
02.04,1242,1103,737
02.05,1967,1189,710
02.06,1766,1221,696
02.07,1501,946,560
02.08,1985,856,509
02.09,1379,768,444
02.10,1921,697,387
02.11,1552,545,384
02.12,1104,534,313
02.13,13436,1404,270
02.14,3910,913,224
02.15,1923,519,166
02.16,1548,300,118
02.17,1690,254,84
02.18,1600,225,58
02.19,1660,86,45
02.20,615,152,261
02.21,319,92,33
02.22,314,51,19
02.23,541,57,18
02.24,348,53,18
02.25,464,35,10
02.26,370,31,31
02.27,383,26,11
02.28,313,5,7
02.29,420,3,9
03.01,565,5,10
03.02,111,3,14
03.03,114,3,5
03.04,131,1,9
03.05,126,3,19
03.06,74,0,29
03.07,74,0,5
03.08,41,0,9
03.09,36,0,3
03.10,17,0,18
03.11,13,0,17
03.12,8,0,6
03.13,5,0,14
03.14,4,0,23
03.15,4,0,25
03.16,4,0,35
03.17,1,0,34
03.18,1,0,84
03.19,0,0,65
03.20,0,0,116
03.21,0,0,82
03.22,0,0,102
03.23,0,0,146
03.24,1,0,99
03.25,0,0,0
